PLATE,MJD,IMG_NAME,IMG_NUM,PLATEQUALITY
4960,55747,r1-00132746,132746,good
4960,55747,r1-00132747,132747,good
4960,55747,r1-00132748,132748,good
4960,55747,r2-00132665,132665,good
4960,55747,r2-00132666,132666,good
4960,55747,r2-00132668,132668,good
4960,55747,r2-00132669,132669,good
4960,55747,r2-00132746,132746,good
4960,55747,r2-00132747,132747,good
4960,55747,r2-00132748,132748,good
3786,55563,b1-00124368,124368,good
3786,55563,b1-00124369,124369,good
3786,55563,b1-00124370,124370,good
3786,55563,b1-00124371,124371,good
3786,55563,b1-00124372,124372,good
3786,55563,b1-00124373,124373,good
3786,55563,b1-00124374,124374,good
3786,55563,b1-00124375,124375,good
3786,55563,b1-00124572,124572,good
3786,55563,b1-00124573,124573,good
3786,55563,b1-00124574,124574,good
3786,55563,b2-00124368,124368,good
3786,55563,b2-00124369,124369,good
3786,55563,b2-00124370,124370,good
3786,55563,b2-00124371,124371,good
3786,55563,b2-00124372,124372,good
3786,55563,b2-00124373,124373,good
3786,55563,b2-00124374,124374,good
3786,55563,b2-00124375,124375,good
3786,55563,b2-00124572,124572,good
3786,55563,b2-00124573,124573,good
3786,55563,b2-00124574,124574,good
3786,55563,r1-00124368,124368,good
3786,55563,r1-00124369,124369,good
3786,55563,r1-00124370,124370,good
3786,55563,r1-00124371,124371,good
3786,55563,r1-00124372,124372,good
3786,55563,r1-00124373,124373,good
3786,55563,r1-00124374,124374,good
3786,55563,r1-00124375,124375,good
3786,55563,r1-00124572,124572,good
3786,55563,r1-00124573,124573,good
3786,55563,r1-00124574,124574,good
3786,55563,r2-00124368,124368,good
3786,55563,r2-00124369,124369,good
3786,55563,r2-00124370,124370,good
3786,55563,r2-00124371,124371,good
3786,55563,r2-00124372,124372,good
3786,55563,r2-00124373,124373,good
3786,55563,r2-00124374,124374,good
3786,55563,r2-00124375,124375,good
3786,55563,r2-00124572,124572,good
3786,55563,r2-00124573,124573,good
3786,55563,r2-00124574,124574,good
5302,55896,b1-00137242,137242,good
5302,55896,b1-00137243,137243,good
5302,55896,b1-00137244,137244,good
5302,55896,b1-00137245,137245,good
5302,55896,b2-00137242,137242,good
5302,55896,b2-00137243,137243,good
5302,55896,b2-00137244,137244,good
5302,55896,b2-00137245,137245,good
5302,55896,r1-00137242,137242,good
5302,55896,r1-00137243,137243,good
5302,55896,r1-00137244,137244,good
5302,55896,r1-00137245,137245,good
5302,55896,r2-00137242,137242,good
5302,55896,r2-00137243,137243,good
5302,55896,r2-00137244,137244,good
5302,55896,r2-00137245,137245,good
6147,56239,b1-00150309,150309,good
6147,56239,b1-00150310,150310,good
6147,56239,b1-00150311,150311,good
6147,56239,b1-00150312,150312,good
6147,56239,b1-00150313,150313,good
6147,56239,b2-00150309,150309,good
6147,56239,b2-00150310,150310,good
6147,56239,b2-00150311,150311,good
6147,56239,b2-00150312,150312,good
6147,56239,b2-00150313,150313,good
6147,56239,r1-00150309,150309,good
6147,56239,r1-00150310,150310,good
6147,56239,r1-00150311,150311,good
6147,56239,r1-00150312,150312,good
6147,56239,r1-00150313,150313,good
6147,56239,r2-00150309,150309,good
6147,56239,r2-00150310,150310,good
6147,56239,r2-00150311,150311,good
6147,56239,r2-00150312,150312,good
6147,56239,r2-00150313,150313,good
3651,55247,b1-00108657,108657,good
3651,55247,b1-00108658,108658,good
3651,55247,b1-00108659,108659,good
3651,55247,b1-00108660,108660,good
3651,55247,b1-00108731,108731,good
3651,55247,b1-00108732,108732,good
3651,55247,b1-00108806,108806,good
3651,55247,b2-00108657,108657,good
3651,55247,b2-00108658,108658,good
3651,55247,b2-00108659,108659,good
3651,55247,b2-00108660,108660,good
3651,55247,b2-00108731,108731,good
